nome,nivel,inicio,fim,instituicao,pagamento
Adenilso da Silva Simao, PQ-2, 01/03/2019, 28/02/2022, USP, Em folha de pagamento
Adriano Alonso Veloso, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Adriano Lorena Inacio de Oliveira, PQ-2, 01/03/2019, 28/02/2022, UFPE, Em folha de pagamento
Afonso Paiva Neto, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Agma Juci Machado Traina, PQ-1B, 01/03/2018, 28/02/2022, USP, Em folha de pagamento
Ajalmar Rêgo da Rocha Neto, PQ-2, 01/03/2018, 28/02/2021, IFCE, Em folha de pagamento
Alba Cristina Magalhaes Alves de Melo, PQ-1C, 01/03/2019, 28/02/2023, UnB, Em folha de pagamento
Alberto Egon Schaeffer Filho, PQ-2, 01/03/2019, 28/02/2022, UFRGS, Em folha de pagamento
Alberto Henrique Frade Laender, PQ-1A, 01/03/2020, 28/02/2025, UFMG, Em folha de pagamento
Alceu de Souza Britto Jr, PQ-1D, 01/03/2019, 28/02/2023, PUC/PR, Em folha de pagamento
Aldo von Wangenheim, PQ-2, 01/03/2020, 28/02/2023, UFSC, Em folha de pagamento
Aldri Luiz dos Santos, PQ-2, 01/03/2018, 28/02/2021, UFPR, Em folha de pagamento
Alejandro Cesar Frery Orgambide, PQ-1B, 01/03/2020, 29/02/2024, UFAL, Em folha de pagamento
Alessandro Fabricio Garcia, PQ-1C, 01/03/2017, 28/02/2021, PUC-Rio, Em folha de pagamento
Alexandre Plastino de Carvalho, PQ-2, 01/03/2019, 28/02/2022, UFF, Em folha de pagamento
Alexandre Salles da Cunha, PQ-2, 01/03/2019, 28/02/2022, UFMG, Em folha de pagamento
Alexandre Xavier Falcao, PQ-1A, 01/03/2019, 29/02/2024, UNICAMP, Em folha de pagamento
Alfredo Goldman vel Lejbman, PQ-2, 01/03/2020, 28/02/2023, USP, Em folha de pagamento
Alisson Vasconcelos de Brito, PQ-2, 01/03/2019, 28/02/2022, UFPB, Em folha de pagamento
Alneu de Andrade Lopes, PQ-2, 01/03/2020, 28/02/2023, USP, Em folha de pagamento
Altigran Soares da Silva, PQ-1B, 01/03/2020, 29/02/2024, UFAM, Em folha de pagamento
Aluizio Fausto Ribeiro Araujo, PQ-1C, 01/03/2019, 28/02/2023, UFPE, Em folha de pagamento
Ana Carolina Lorena, PQ-2, 01/03/2018, 28/02/2021, UNIFESP, Em folha de pagamento
Ana Cristina Bicharra Garcia, PQ-2, 01/03/2019, 28/02/2022, UNIRIO, Em folha de pagamento
Ana Lucia Cetertich Bazzan, PQ-1C, 01/03/2018, 28/02/2022, UFRGS, Em folha de pagamento
Ana Paula Couto da Silva, PQ-2, 01/03/2018, 28/02/2021, UFMG, Em folha de pagamento
Ana Shirley Ferreira da Silva, PQ-2, 01/03/2018, 28/02/2021, UFC, Em folha de pagamento
Anderson Almeida Ferreira, PQ-2, 01/03/2018, 28/02/2021, UFOP, Em folha de pagamento
Anderson de Rezende Rocha, PQ-1D, 01/03/2019, 28/02/2023, UNICAMP, Em folha de pagamento
Anderson Maciel, PQ-2, 01/03/2018, 28/02/2021, UFRGS, Em folha de pagamento
Andre Carlos Ponce de Leon Ferreira de Carvalho, PQ-1A, 01/03/2016, 28/02/2021, USP, Em folha de pagamento
Andre Carlos Ponce de Leon Ferreira de Carvalho, PQ-1A, 01/03/2021, 28/02/2022, USP, Em folha de pagamento
Andre Fujita, PQ-2, 01/03/2020, 28/02/2023, USP, Em folha de pagamento
Andre Luiz Lins de Aquino, PQ-2, 01/03/2020, 28/02/2023, UFAL, Em folha de pagamento
Andre Ricardo Backes, PQ-2, 01/03/2019, 28/02/2022, UFU, Em folha de pagamento
Andreia Malucelli, PQ-2, 01/03/2019, 28/02/2022, PUC/PR, Em folha de pagamento
Anelise Munaretto Fonseca, PQ-2, 01/03/2018, 28/02/2021, UTFPR, Em folha de pagamento
Angelo Perkusich, PQ-2, 01/03/2019, 28/02/2022, UFCG, Em folha de pagamento
Angelo Roncalli Alencar Brayner, PQ-2, 01/03/2018, 28/02/2021, UFC, Em folha de pagamento
Anisio Mendes Lacerda, PQ-2, 01/03/2018, 28/02/2021, CEFET/MG, Em folha de pagamento
Anna Helena Reali Costa, PQ-2, 01/03/2018, 28/02/2021, USP, Em folha de pagamento
Anne Magaly de Paula Canuto, PQ-2, 01/03/2019, 28/02/2022, UFRN, Em folha de pagamento
